iter	Passed	Remaining
0	56	33933
1	107	32216
2	167	33268
3	207	30966
4	249	29709
5	298	29595
6	371	31448
7	437	32341
8	492	32363
9	548	32358
10	610	32663
11	667	32692
12	710	32084
13	759	31804
14	804	31366
15	862	31483
16	906	31093
17	953	30843
18	1010	30893
19	1057	30680
20	1104	30453
21	1145	30100
22	1190	29877
23	1237	29693
24	1282	29494
25	1322	29190
26	1364	28964
27	1404	28695
28	1449	28539
29	1494	28393
30	1542	28305
31	1591	28241
32	1650	28351
33	1716	28578
34	1771	28594
35	1839	28818
36	1918	29187
37	1990	29435
38	2073	29825
39	2139	29957
40	2207	30099
41	2263	30066
42	2313	29963
43	2364	29874
44	2405	29673
45	2465	29696
46	2539	29876
47	2610	30016
48	2665	29973
49	2717	29889
50	2761	29725
51	2804	29555
52	2861	29535
53	2915	29475
54	2965	29388
55	3020	29343
56	3068	29233
57	3116	29127
58	3164	29016
59	3207	28871
60	3256	28775
61	3302	28657
62	3350	28556
63	3400	28475
64	3444	28349
65	3491	28253
66	3535	28125
67	3586	28062
68	3629	27929
69	3676	27833
70	3724	27747
71	3778	27712
72	3838	27710
73	3881	27592
74	3935	27546
75	3997	27559
76	4056	27553
77	4108	27498
78	4159	27434
79	4211	27375
80	4258	27283
81	4354	27504
82	4421	27542
83	4465	27428
84	4514	27353
85	4552	27210
86	4599	27121
87	4641	27004
88	4707	27028
89	4780	27091
90	4838	27061
91	4900	27057
92	4955	27013
93	5009	26967
94	5058	26892
95	5099	26774
96	5142	26664
97	5185	26562
98	5233	26483
99	5280	26401
100	5328	26325
101	5378	26259
102	5426	26184
103	5473	26105
104	5522	26032
105	5563	25926
106	5604	25822
107	5641	25699
108	5685	25611
109	5729	25521
110	5772	25431
111	5817	25348
112	5865	25280
113	5909	25191
114	5954	25113
115	6005	25057
116	6051	24983
117	6102	24927
118	6154	24876
119	6200	24802
120	6236	24689
121	6276	24590
122	6315	24491
123	6364	24429
124	6418	24388
125	6470	24341
126	6523	24297
127	6568	24221
128	6615	24155
129	6661	24082
130	6706	24010
131	6743	23910
132	6794	23856
133	6844	23801
134	6928	23863
135	6989	23847
136	7045	23811
137	7103	23781
138	7154	23729
139	7206	23677
140	7257	23626
141	7308	23572
142	7360	23523
143	7409	23462
144	7448	23374
145	7495	23307
146	7538	23230
147	7584	23164
148	7626	23084
149	7667	23001
150	7709	22924
151	7749	22840
152	7786	22748
153	7827	22668
154	7874	22608
155	7927	22562
156	7979	22515
157	8022	22443
158	8069	22380
159	8115	22318
160	8164	22261
161	8213	22207
162	8263	22153
163	8314	22105
164	8363	22048
165	8414	21998
166	8456	21925
167	8504	21868
168	8556	21821
169	8610	21778
170	8654	21712
171	8698	21644
172	8741	21574
173	8785	21508
174	8836	21459
175	8874	21378
176	8920	21318
177	8980	21289
178	9039	21260
179	9095	21223
180	9140	21159
181	9206	21143
182	9280	21146
183	9372	21188
184	9446	21190
185	9509	21166
186	9560	21115
187	9611	21064
